classes,inherent_index,name,Description
commodity,c,commodity\_lodf\_tolerance,"The minimum absolute value of the line outage distribution factor (LODF) that is considered meaningful."
commodity,c,commodity\_physics,"Defines if the commodity follows lodf or ptdf physics."
commodity,c,commodity\_ptdf\_threshold,"The minimum absolute value of the power transfer distribution factor (PTDF) that is considered meaningful."
connection,conn,candidate\_connections,"The number of connections that may be invested in"
connection,conn,connection\_availability\_factor,"Availability of the connection, acting as a multiplier on its connection\_capacity. Typically between 0-1."
connection,conn,connection\_contingency,"A boolean flag for defining a contingency connection."
connection,conn,connection\_flow\_cost,"Variable costs of a flow through a connection. E.g. EUR/MWh of energy throughput."
connection,conn,connection\_investment\_cost,"The per unit investment cost for the connection over the connection\_investment\_lifetime"
connection,conn,connection\_investment\_lifetime,"Determines the minimum investment lifetime of a connection. Once invested, it remains in service for this long"
connection,conn,connection\_investment\_variable\_type,"Determines whether the investment variable is integer variable\_type\_integer or continuous variable\_type\_continuous"
connection,conn,connection\_monitored,"A boolean flag for defining a contingency connection."
connection,conn,connection\_reactance,"The per unit reactance of a connection."
connection,conn,connection\_reactance\_base,"If the reactance is given for a p.u.  (e.g. p.u. = 100MW), the connection\_reactance\_base can be set to perform this conversion (e.g. *100)."
connection,conn,connection\_resistance,"The per unit resistance of a connection."
connection,conn,connection\_type,"A selector between a normal and a lossless bidirectional connection."
connection,conn,fix\_connections\_invested,"Setting a value fixes the connections\_invested variable accordingly"
connection,conn,fix\_connections\_invested\_available,"Setting a value fixes the connections\_invested\_available variable accordingly"
connection,conn,has\_binary\_gas\_flow,"This parameter needs to be set to true in order to represent bidirectional pressure drive gas transfer."
model,m,duration\_unit,"Defines the base temporal unit of the model. Currently supported values are either an hour or a minute."
model,m,max\_gap,"Specifies the maximum optimality gap for the model. Currently only used for the master problem within a decomposed structure"
model,m,max\_iterations,"Specifies the maximum number of iterations for the model. Currently only used for the master problem within a decomposed structure"
model,m,model\_end, "Defines the last timestamp to be modelled. Rolling optimisation terminates after passing this point."
model,m,model\_start, "Defines the first timestamp to be modelled. Relative temporal\_blocks refer to this value for their start and end."
model,m,model\_type,"Used to identify model objects as relating to the master problem or operational sub problems (default)"
model,m,roll\_forward,"Defines how much the model moves ahead in time between solves in a rolling optimisation. Without this parameter, everything is solved in as a single optimisation."
model,m,write\_lodf\_file,"A boolean flag for whether the LODF values should be written to a results file."
model,m,write\_mps\_file,"A selector for writing an .mps file of the model."
model,m,write\_ptdf\_file,"A boolean flag for whether the LODF values should be written to a results file."
model,m,big\_m,"Sufficiently large number used for linearization bilinear terms, e.g. to enforce bidirectional flow for gas pipielines"
node,n,balance\_type,"A selector for how the :nodal\_balance constraint should be handled."
node,n,candidate\_storages,"Determines the maximum number of new storages which may be invested in."
node,n,demand,"Demand for the commodity of a node. Energy gains can be represented using negative demand."
node,n,downward\_reserve,"Identifier for nodes providing downward reserves"
node,n,fix\_node\_state,"Fixes the corresponding node\_state variable to the provided value. Can be used for e.g. fixing boundary conditions."
node,n,fix\_storages\_invested,"Used to fix the value of the storages\_invested variable"
node,n,fix\_storages\_invested\_available,"Used to fix the value of the storages\_invested\_available variable"
node,n,fix\_node\_pressure,"Fixes the corresponding node\_pressure variable to the provided value"
node,n,fix\_node\_voltage\_angle,"Fixes the corresponding node\_voltage\_angle variable to the provided value"
node,n,frac\_state\_loss,"Self-discharge coefficient for node\_state variables. Effectively, represents the *loss power per unit of state*."
node,n,fractional\_demand,"The fraction of a node group's demand applied for the node in question."
node,n,has\_state,"A boolean flag for whether a node has a node\_state variable."
node,n,has\_pressure,"A boolean flag for whether a node has a node\_pressure variable."
node,n,has\_voltage\_angle,"A boolean flag for whether a node has a node\_voltage\_angle variable."
node,n,is\_reserve\_node,"A boolean flag for whether a node is acting as a reserve\_node"
node,n,minimum\_reserve\_activation\_time,"Duration a certain reserve product needs to be online/available"
node,n,nodal\_balance\_sense,"A selector for nodal\_balance constraint sense."
node,n,node\_opf\_type,"A selector for the reference node (slack bus) when PTDF-based DC load-flow is enabled."
