index,indices,Description
m,model,"Set of \href{https://spine-project.github.io/SpineOpt.jl/latest/concept_reference/Object\%20Classes/#model}{model} objects that specifies general parameters."
n,node,"Set of [node](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Object%20Classes/#node) objects in the model"
u,unit,"Set of [unit](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Object%20Classes/#unit) objects in the model"
uc,unit\_constraint,"Set of [unit\_constraint](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Object%20Classes/#unit\_constraint) objects in the model"
conn,connection,"Set of [connection](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Object%20Classes/#connection) objects in the model"
c,commodity,"Set of \href{https://spine-project.github.io/SpineOpt.jl/latest/concept_reference/Object%20Classes/#commodity}{commodity} objects in the model."
d,direction,"Set of flow direction associated with a node, including ``to\_node`` and ``from\_node``"
s,stochastic\_scenario,"Set of [stochastic\_scenario](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Object%20Classes/#stochastic\_scenario) objects in the model"
s,stochastic\_path,"Set of unique sequences of stochastic scenarios that traverse the stochastic direct acyclic graph (DAG) from root to leaves"
tb,temporal\_block,"Set of [temporal\_block](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Object%20Classes/#temporal\_block) objects in the model"
ng,groups(node=n),"Set of node objects that belong to the same [node\_group](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/the\_basics/#Introduction-to-groups-of-objects)"
..,ind(*parameter*),"Tuple of all objects, for which the parameter is defined"
i,N,"Set of indexes for navigating an array value"
t,TimeSlice,"Set of specific time-indexes for navigating a time-varying value"
t,t\_before\_t(t\_after=t'),Set of timeslices that are directly before timeslice t'
t,t\_before\_t(t\_before=t'),Set of timeslices that are directly after timeslice t'
t,t\_in\_t(t\_short=t'),Set of timeslices that contain timeslice t'
t,t\_in\_t(t\_long=t'),Set of timeslices that are contained in timeslice t'
t,t\_overlaps\_t(t'),Set of timeslices that overlap with timeslice t'
t,"t\_lowest\_resolution(node=n, temporal\_block=tb)", Set of the lowest resolution timeslices in node n and temporal block tb
[s\_path],full\_stochastic\_paths,Set of all possible sequences of stochastic scenarios that traverse the stochastic direct acyclic graph (DAG) from root to leaves
[s\_path],active\_stochastic\_paths(s),"Set of sequences of stochastic scenarios that contain the active scenarios s"
"(n, tb)",node\_\_temporal\_block,Set of tuples of node and temporal block being defined under the relationship [node\_\_temporal\_block](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Relationship%20Classes/#node\_\_temporal\_block)
"(u, n)",unit\_\_node,Set of tuples of unit and node being defined under the relationship [unit\_\_to\_node](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Relationship%20Classes/#unit\_\_to\_node) or [unit\_\_from\_node](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Relationship%20Classes/#unit\_\_from\_node)
"(u, n, uc)",unit\_\_node\_\_unit\_constraint,"Set of tuples of unit, node and unit constraint being defined under the relationship [unit\_\_to\_node\_\_unit\_constraint](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Relationship%20Classes/#unit\_\_to\_node\_\_unit\_constraint) or [unit\_\_from\_node\_\_unit\_constraint](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Relationship%20Classes/#unit\_\_from\_node\_\_unit\_constraint)"
