name,index,indices,description,hypertarget
binary_gas_connection_flow,"(conn, n, d, s, t)",binary_gas_connection_flow_indices,Binary variable with the indices node ``n`` over the connection ``conn`` in the direction ``to\_node`` for the stochastic scenario ``s`` at timeslice ``t`` describing if the direction of gas flow for a pressure drive gas transfer is in the indicated direction.,"17"
connection_flow ,"(conn, n, d, s, t)",connection_flow_indices,Commodity flow associated with node ``n`` over the connection ``conn`` in the direction ``d`` for the stochastic scenario ``s`` at timeslice ``t``.,"3"
connection_intact_flow,"(conn, n, d, s, t)",connection_intact_flow_indices,The commodity flow on all connection lines with candidate capacity for investments assumed in place.,"6678008193923544430"
connections_decommissioned,"(conn, s, t)",connections_invested_available_indices,Number of decomissioned connections ``conn`` for the stochastic scenario ``s`` at timeslice ``t``.,"18"
connections_invested,"(conn, s, t)",connections_invested_available_indices,Number of connections ``conn`` invested at timeslice ``t`` in for the stochastic scenario ``s``.,"19"
connections_invested_available,"(conn, s, t)",connections_invested_available_indices,Number of invested connections ``conn``  that are available still the stochastic scenario ``s`` at timeslice ``t``.,"20"
node_injection,"(n, s, t)",node_injection_indices,Commodity injections at node ``n`` for the stochastic scenario ``s`` at timeslice ``t``.,"2"
node_pressure,"(n, s, t)",node_pressure_indices,Pressue at a node ``n`` for a specific stochastic scenario ``s``  and timeslice ``t``. See also: \href{https://spine-project.github.io/SpineOpt.jl/latest/concept_reference/Parameters/#has_pressure}{has\_pressure}.,"12"
node_slack_neg,"(n, s, t)",node_slack_indices,Negative slack variable at node ``n`` for the stochastic scenario ``s`` at timeslice ``t``.,"4"
node_slack_pos,"(n, s, t)",node_slack_indices,Positive slack variable at node ``n`` for the stochastic scenario ``s`` at timeslice ``t``.,"11067384865300099043"
node_state,"(n, s, t)",node_state_indices,Storage state at node ``n`` for the stochastic scenario ``s`` at timeslice ``t``.,"9063728754723048822"
node_voltage_angle,"(n, s, t)",node_voltage_angle_indices,Voltage angle at a node ``n`` for a specific stochastic scenario ``s`` and timeslice ``t``. See also: \href{https://spine-project.github.io/SpineOpt.jl/latest/concept_reference/Parameters/#has_voltage_angle}{has\_voltage\_angle}.,"7430235590748706606"
nonspin_ramp_down_unit_flow,"(u, n, d, s, t)",nonspin_ramp_down_unit_flow_indices,Non-spinning down ward reserve commodity flows of unit ``u`` at node ``n``  in the direction ``d`` for the stochastic scenario ``s`` at timeslice ``t``.,"16650230051442829351"
nonspin_ramp_up_unit_flow,"(u, n, d, s, t)",nonspin_ramp_up_unit_flow_indices,Non-spinning upward reserve commodity flows of unit ``u`` at node ``n``  in the direction ``d`` for the stochastic scenario ``s`` at timeslice ``t``.,"18408962200680889078"
nonspin_units_shut_down,"(u, n, s, t)",nonspin_units_shut_down_indices,Number of units ``u`` held available for non-spinning downward reserve provision via shutdown to node ``n``  for the stochastic scenario ``s`` at timeslice ``t``.,"12597774843428835158"
